sys_id,n_ie,n_pages,n_lines,n_chars
990000853610205171,2,131,5996,287429
990000853620205171,1,19,721,29864
990000853630205171,1,12,356,9281
990000853640205171,1,78,13180,482556
990000853650205171,1,27,1258,45108
990000853660205171,1,38,1389,60635
990000853670205171,1,42,1139,42763
990000853680205171,1,8,132,2793
990000853690205171,1,30,1514,102515
990000853700205171,1,8,130,4969
990000853710205171,1,95,4422,181143
990000853720205171,1,7,105,2062
990000853740205171,1,253,11978,439192
990000853890205171,1,51,1706,43002
990000853920205171,1,9,179,5476
990000853930205171,1,9,202,6048
990000853940205171,1,11,153,3359
990000853950205171,3,42,694,21007
990000853960205171,1,14,315,11610
990000853970205171,1,139,4849,173649
990000853990205171,1,90,3368,108414
990000854020205171,1,22,658,23541
990000854060205171,1,11,278,9205
990000854070205171,1,6,77,1629
990000854080205171,1,7,87,1322
990000854090205171,1,14,351,9158
990000854100205171,1,8,128,3338
990000854410205171,1,9,199,7495
990000854420205171,1,8,120,2826
990000854430205171,1,16,404,12512
990000854440205171,1,6,23,884
990000854450205171,1,25,726,23572
990000854460205171,1,70,2906,127713
990000854510205171,1,8,138,3286
990000854530205171,2,265,9862,347106
990000854540205171,1,21,793,37016
990000854560205171,1,5,47,883
990000854570205171,1,110,4191,158211
990000854610205171,1,156,8115,420958
990000854620205171,1,253,12680,522347
990000854650205171,1,11,219,6262
990000854660205171,1,8,81,1381
990000854670205171,2,26,805,23113
990000854690205171,2,296,13003,460116
990000854700205171,2,10,142,3164
990000854710205171,1,17,410,11603
990000854720205171,1,135,5193,186784
990000854730205171,1,242,7354,226254
990000854740205171,2,184,6971,219515
990000854750205171,1,8,107,2624
990000854760205171,1,11,286,10257
990000854770205171,2,163,4806,124762
990000854780205171,1,230,9609,441830
990000854790205171,2,301,14728,646695
990000854800205171,1,85,2754,99887
990000854810205171,1,13,304,8642
990000854850205171,1,12,279,12146
990000854870205171,1,10,184,7058
990000854880205171,1,188,6256,189408
990000854890205171,1,11,313,8922
990000854910205171,1,7,77,1443
990000854920205171,1,7,82,1836
990000854930205171,1,94,4650,182217
990000854940205171,1,7,60,1117
990000854950205171,1,84,2674,90170
990000854960205171,1,23,584,18922
990000855050205171,1,3,81,2309
990000855070205171,1,154,5361,175815
990000855160205171,1,244,8385,302917
990000855180205171,1,34,1024,45190
990000855210205171,1,11,420,12618
990000855250205171,1,81,2213,53151
990000855260205171,1,140,4561,134850
990000855270205171,1,8,230,7276
990000855280205171,1,6,165,5325
990000855290205171,1,12,362,12367
990000855300205171,1,8,257,7256
990000855310205171,1,4,119,4424
990000855320205171,1,4,118,4397
990000855330205171,1,4,119,4296
990000855340205171,1,4,133,3921
990000855350205171,1,3,85,2693
990000855360205171,1,8,244,7469
990000855370205171,1,3,81,2348
990000855380205171,1,4,88,2751
990000855390205171,1,7,198,6408
990000855400205171,1,7,216,6345
990000855410205171,1,4,115,4456
990000855420205171,1,5,135,3806
990000855430205171,1,4,130,3794
990000855440205171,1,7,246,7838
990000855450205171,1,8,190,8478
990000855550205171,1,9,167,5862
990000855560205171,1,11,281,9335
990000855570205171,1,175,6857,243463
990000855580205171,1,18,404,12880
990000855590205171,2,47,1935,79164
990000855600205171,1,13,247,8066
990000855610205171,1,15,321,10434
990000855620205171,2,32,1547,51377
990000855630205171,1,14,265,7861
990000855640205171,3,163,7396,241724
990000855700205171,1,24,762,25967
990000855710205171,1,60,2179,86984
990000855720205171,1,12,241,5929
990000855740205171,1,61,2547,78262
990000855750205171,1,8,104,2725
990000855760205171,2,262,7874,246991
990000855770205171,1,77,3843,210691
990000855780205171,1,10,167,3866
990000855790205171,1,15,263,6645
990000855800205171,1,21,598,19340
990000855810205171,1,8,77,2103
990000855820205171,1,41,1058,33149
990000855830205171,1,16,509,16198
990000855840205171,2,46,1675,50425
990000855850205171,1,68,3094,126670
990000855860205171,1,15,295,15501
990000855870205171,2,58,2411,107958
990000855880205171,1,24,563,16019
990000855890205171,1,9,105,2267
990000855900205171,1,9,108,2384
990000855910205171,1,9,136,3508
990000855920205171,1,9,107,2357
990000855930205171,1,13,275,9665
990000855940205171,1,12,204,6921
990000855950205171,1,17,481,22082
990000855960205171,2,97,3086,108288
990000855970205171,1,16,592,29501
990000855990205171,1,7,179,7401
990000856000205171,1,10,305,14386
990000856410205171,1,8,165,6900
990000856420205171,1,9,276,8469
990000856430205171,1,8,128,4126
990000856440205171,1,8,213,6011
990000856450205171,1,12,507,18956
990000856460205171,1,86,3982,219294
990000856470205171,1,7,87,1851
990000856480205171,1,8,141,5234
990000856490205171,1,7,86,1208
990000856500205171,1,8,109,3129
990000856510205171,1,15,406,15249
990000856520205171,1,8,221,11870
990000856530205171,1,203,12106,720503
990000856620205171,1,6,105,3864
990000856630205171,1,9,405,27313
990000856710205171,1,9,258,15736
990000856720205171,1,6,149,7856
990000856730205171,1,14,445,23780
990000856740205171,2,12,140,1716
990000856750205171,2,12,72,464
990000856760205171,1,6,130,1594
990000856770205171,1,11,459,26000
990000856780205171,1,125,6832,633010
990000856790205171,1,17,784,56854
990000856800205171,2,98,4035,112762
990000856810205171,1,28,1481,96369
990000856820205171,1,8,365,13001
990000856830205171,1,8,347,17321
990000856840205171,1,41,2809,97946
990000856850205171,1,18,995,51327
990000856860205171,1,6,108,3552
990000856870205171,1,132,6549,206796
990000856880205171,1,21,2707,94594
990000856890205171,1,23,1027,56724
990000856900205171,1,8,140,2064
990000856910205171,1,7,95,1625
990000856920205171,1,7,126,4908
990000856930205171,1,9,210,7947
990000856940205171,1,49,2706,181766
990000856950205171,1,73,4488,252113
990000856960205171,1,9,226,8591
990000856980205171,1,31,1113,40210
990000857000205171,1,34,1868,96863
990000857010205171,1,8,185,7035
990000857020205171,1,24,1166,44628
990000857030205171,2,51,1429,86972
990000857040205171,1,7,92,2896
990000857050205171,1,38,1452,75127
990000857070205171,1,7,235,3713
990000857130205171,1,8,141,4537
990000857140205171,1,25,1897,50550
990000857150205171,1,68,3230,194728
990000857160205171,1,19,863,38457
990000857170205171,1,139,8182,374908
990000857180205171,1,11,355,13622
990000857190205171,1,35,1748,110313
990000857250205171,1,24,844,47077
990000857280205171,1,34,1766,98536
990000857320205171,1,8,163,6146
990000857330205171,1,52,3876,239561
990000857340205171,1,17,788,33579
990000857350205171,1,18,666,44055
990000857360205171,1,6,180,7950
990000857370205171,1,27,996,28448
990000857380205171,1,34,3813,69382
990000857390205171,1,106,6098,359662
990000857400205171,1,13,345,9968
990000857410205171,1,24,1119,50028
990000857420205171,1,29,1025,44094
990000857430205171,1,54,2414,75768
990000857550205171,1,6,104,3574
990000857560205171,1,7,188,5326
990000857620205171,1,100,3098,104027
990000857630205171,1,36,1135,43119
990000857640205171,1,68,1774,54706
990000857650205171,1,128,4320,258717
990000857660205171,1,25,780,28119
990000857670205171,1,35,887,22207
990000857680205171,1,32,1001,30307
990000857690205171,3,39,1098,27758
990000857700205171,1,51,1919,61100
990000857710205171,1,9,218,3581
990000857720205171,2,271,8898,278075
990000857730205171,1,57,1104,30861
990000857740205171,1,7,124,2930
990000857750205171,1,11,246,6139
990000857760205171,1,41,1264,40916
990000857790205171,1,14,391,14177
990000857810205171,1,7,172,4432
990000857820205171,1,12,285,13506
990000858010205171,1,55,2517,108717
990000859230205171,1,8,165,7064
990000859240205171,1,17,631,29410
990000859250205171,1,17,729,42294
990000859260205171,1,25,703,26991
990000859280205171,1,39,1559,59239
990000859290205171,1,7,107,3363
